Date,inflation
2000-01-01,3.52
2000-02-01,3.56
2000-03-01,4.63
2000-04-01,5.80
2000-05-01,4.39
2000-06-01,4.21
2000-07-01,4.75
2000-08-01,4.62
2000-09-01,5.92
2000-10-01,6.58
2000-11-01,3.79
2000-12-01,3.41
2001-01-01,3.10
2001-02-01,2.65
2001-03-01,1.80
2001-04-01,1.04
2001-05-01,2.13
2001-06-01,2.68
2001-07-01,3.17
2001-08-01,2.09
2001-09-01,-0.02
2001-10-01,-1.27
2001-11-01,1.08
2001-12-01,0.92
2002-01-01,0.69
2002-02-01,0.93
2002-03-01,0.85
2002-04-01,0.61
2002-05-01,0.83
2002-06-01,0.20
2002-07-01,-0.58
2002-08-01,0.30
2002-09-01,1.03
2002-10-01,1.50
2002-11-01,2.27
2002-12-01,2.45
2003-01-01,2.86
2003-02-01,2.42
2003-03-01,2.80
2003-04-01,3.16
2003-05-01,3.13
2003-06-01,3.23
2003-07-01,3.42
2003-08-01,3.85
2003-09-01,3.62
2003-10-01,4.35
2003-11-01,3.26
2003-12-01,3.94
2004-01-01,4.17
2004-02-01,4.59
2004-03-01,4.25
2004-04-01,3.94
2004-05-01,4.35
2004-06-01,4.92
2004-07-01,4.84
2004-08-01,4.54
2004-09-01,4.27
2004-10-01,3.82
2004-11-01,4.93
2004-12-01,4.62
2005-01-01,5.41
2005-02-01,5.26
2005-03-01,5.71
2005-04-01,5.29
2005-05-01,5.57
2005-06-01,6.40
2005-07-01,5.35
2005-08-01,5.35
2005-09-01,5.53
2005-10-01,5.07
2005-11-01,4.96
2005-12-01,4.91
2006-01-01,3.91
2006-02-01,4.18
2006-03-01,3.72
2006-04-01,4.26
2006-05-01,4.43
2006-06-01,3.49
2006-07-01,4.55
2006-08-01,4.39
2006-09-01,4.31
2006-10-01,4.41
2006-11-01,4.74
2006-12-01,4.95
2007-01-01,6.02
2007-02-01,6.57
2007-03-01,7.19
2007-04-01,6.76
2007-05-01,6.36
2007-06-01,6.59
2007-07-01,8.84
2007-08-01,10.36
2007-09-01,10.48
2007-10-01,11.34
2007-11-01,11.86
2007-12-01,11.73
2008-01-01,11.35
2008-02-01,13.32
2008-03-01,14.08
2008-04-01,15.22
2008-05-01,16.84
2008-06-01,17.32
2008-07-01,14.79
2008-08-01,13.73
2008-09-01,14.51
2008-10-01,13.30
2008-11-01,12.08
2008-12-01,11.85
2009-01-01,11.04
2009-02-01,8.13
2009-03-01,6.56
2009-04-01,5.32
2009-05-01,3.20
2009-06-01,2.12
2009-07-01,1.45
2009-08-01,1.42
2009-09-01,0.64
2009-10-01,0.78
2009-11-01,0.46
2009-12-01,0.26
2010-01-01,0.07
2010-02-01,0.31
2010-03-01,0.69
2010-04-01,1.22
2010-05-01,1.38
2010-06-01,1.33
2010-07-01,2.16
2010-08-01,2.60
2010-09-01,3.27
2010-10-01,4.20
2010-11-01,5.57
2010-12-01,7.18
2011-01-01,8.38
2011-02-01,10.00
2011-03-01,11.11
2011-04-01,11.03
2011-05-01,11.27
2011-06-01,11.28
2011-07-01,11.18
2011-08-01,10.43
2011-09-01,9.93
2011-10-01,9.11
2011-11-01,8.26
2011-12-01,6.90
2012-01-01,5.86
2012-02-01,4.64
2012-03-01,4.03
2012-04-01,4.17
2012-05-01,4.47
